地区,2018,2017,2016,2015,2014
北京,1151,1245,1321,1426,1630
天津,1752,1820,1851,1866,1924
河北,2885,2822,2657,2555,2579
山西,2919,3119,3270,3486,3686
内蒙古,2449,2559,2669,2779,2941
辽宁,2195,2303,2297,2334,2427
吉林,2076,2123,2040,2111,2207
黑龙江,2079,2158,2193,2313,2381
上海,1082,1099,1120,1149,1197
江苏,2323,2316,2318,2407,2542
浙江,2581,2635,2589,2647,2726
安徽,3065,3123,3145,3318,3583
福建,2659,2717,2787,2889,3030
江西,3242,3150,3125,3308,3286
山东,2723,2796,2837,2941,3099
河南,3631,3551,3458,3454,3480
湖北,2153,2156,2239,2294,2393
湖南,2891,2905,2787,2720,2712
广东,2917,3128,3344,3589,3802
广西,3756,3686,3602,3611,3676
海南,3362,3402,3371,3433,3648
重庆,3268,3305,3461,3702,3849
四川,2799,2889,3025,3162,3312
贵州,4379,4502,4583,4683,4422
云南,3147,3094,2965,2897,2897
西藏,2508,2358,2316,2319,2329
陕西,2894,3076,3101,3320,3598
甘肃,2954,3098,3295,3517,3755
青海,3697,3647,3637,3659,3651
宁夏,3330,3412,3489,3672,3772
新疆,3631,3712,3565,3385,3277
