地区,2018,2017,2016,2015,2014
北京,5268,5300,5028,5218,5429
天津,4150,4072,4058,4185,4283
河北,2457,2328,2191,2141,2098
山西,2383,2401,2439,2504,2519
内蒙古,1984,1969,1937,2035,2156
辽宁,2866,2859,2845,2876,2933
吉林,3131,3038,3048,3169,3168
黑龙江,2405,2403,2427,2518,2555
上海,3517,3498,3327,3330,3348
江苏,3143,3045,2937,2896,2858
浙江,2370,2345,2355,2414,2408
安徽,2245,2250,2259,2309,2245
福建,2355,2352,2438,2508,2513
江西,2771,2676,2698,2654,2527
山东,2588,2519,2620,2516,2421
河南,2653,2455,2352,2293,2203
湖北,3088,3000,2950,3038,3121
湖南,2610,2419,2251,2215,2160
广东,2542,2454,2431,2434,2356
广西,2602,2383,2279,2178,2052
海南,2305,2261,2258,2290,2317
重庆,3081,3084,3059,3071,3017
四川,2409,2339,2314,2312,2244
贵州,2254,2129,2005,1819,1690
云南,2166,1999,1889,1819,1731
西藏,1616,1678,1765,1766,1676
陕西,3562,3582,3540,3628,3652
甘肃,2258,2217,2189,2194,2219
青海,1426,1391,1319,1275,1220
宁夏,2379,2278,2225,2244,2255
新疆,1954,1863,1780,1759,1749
